OFFERLLTITLE;ฬแนฉนคาติฎึ๚;;;;;;;;;;X
STOPLLTITLE;อฃึนนคาติฎึ๚;;;;;;;;;;X
OFFERLL_DESCRIPTION;ฯ๒ธรน๚ฬแนฉนคาติฎึ๚.;;;;;;;;;;X
STOPLL_DESCRIPTION;อฃึนฯ๒ธรน๚ฬแนฉนคาติฎึ๚.;;;;;;;;;;X
OFFERLL_REFUSED;ศกฯ๛ฮารวีýิฺฬแนฉตฤนคาติฎึ๚.;;;;;;;;;;X
LENDOFFERREFUSED_SETUP;ตฑาปธ๖น๚ผาพÜพ๘ฮารวตฤนคาติฎึ๚.;;;;;;;;;;X
LENDOFFERREFUSED_HEADER;$foreign_minister$ฑจธๆ;;;;;;;;;;X
LENDOFFERREFUSED_1;นคาติฎึ๚ิโพÜ!;;;;;;;;;;X
LENDOFFERREFUSED_2;$MONARCHTITLE$;;;;;;;;;;X
LENDOFFERREFUSED_3;งY$RECIPIENT$งW;;;;;;;;;;X
LENDOFFERREFUSED_4;พÜพ๘มห;;;;;;;;;;X
LENDOFFERREFUSED_5;ฮารวตฤนคาติฎึ๚.;;;;;;;;;;X
LENDOFFERREFUSED_6;*;;;;;;;;;;X
LENDOFFERREFUSED_LOG;$RECIPIENT$พÜพ๘มหฮารวตฤนคาติฎึ๚.;;;;;;;;;;X
LENDOFFERREFUSED_BTN1;บรตฤ;;;;;;;;;;X
LENDOFFERREFUSED_BTN2;บรตฤ;;;;;;;;;;X
LENDOFFERREFUSED_BTN3;ืชตฝ;;;;;;;;;;X
LENDOFFERREFUSED_MAP;*;;;;;;;;;;X
LENDOFFERACCEPT_SETUP;ตฑาปธ๖น๚ผาฝำสÜฮารวตฤนคาติฎึ๚.;;;;;;;;;;X
LENDOFFERACCEPT_HEADER;$foreign_minister$ฑจธๆ;;;;;;;;;;X
LENDOFFERACCEPT_1;ฝำสÜนคาติฎึ๚!;;;;;;;;;;X
LENDOFFERACCEPT_2;$MONARCHTITLE$;;;;;;;;;;X
LENDOFFERACCEPT_3;งY$RECIPIENT$งW;;;;;;;;;;X
LENDOFFERACCEPT_4;ฝำสÜมห;;;;;;;;;;X
LENDOFFERACCEPT_5;ฮารวตฤนคาติฎึ๚.;;;;;;;;;;X
LENDOFFERACCEPT_6;*;;;;;;;;;;X
LENDOFFERACCEPT_LOG;$RECIPIENT$ฝำสÜมหฮารวตฤนคาติฎึ๚.;;;;;;;;;;X
LENDOFFERACCEPT_BTN1;บรตฤ;;;;;;;;;;X
LENDOFFERACCEPT_BTN2;บรตฤ;;;;;;;;;;X
LENDOFFERACCEPT_BTN3;ืชตฝ;;;;;;;;;;X
LENDOFFERACCEPT_MAP;*;;;;;;;;;;X
LEND_LEASE_CONVOY_OWNER_DESC;ีโึงปคบฝดฌถำส๔ำฺ งY$COUNTRY$ง!ฃฌำษธรน๚นÜภํกฃ;;;;;;;;;;X
